Start_Year,count,Genre,Total,Top_Anime
1919.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1920.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1921.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1922.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1923.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1924.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1925.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1926.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1927.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1928.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1929.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1930.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1931.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1932.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1933.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1934.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1935.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1936.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1937.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1938.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1939.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1940.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1941.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1942.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1943.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1944.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1945.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1946.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1947.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
